trial,condition,seed,gain_label,body_id,first_peak10_hz,first_peak50_hz,first_late500_hz,OFF1_hz,OFF20_hz,last_OFF_spike_bin_end_ms,reON_peak10_hz,reON_peak50_hz,reON_late500_hz,reOFF1_hz,last_reOFF_spike_bin_end_ms,OFF_tail_after1s_spikes,reOFF_tail_after1s_spikes
control_hungry_2026091701,control,2026091701,hungry,10176,500.0,440.0,412.0,320.0,330.0,19998,500.0,440.0,416.0,330.0,1999,6186,325
control_hungry_2026091701,control,2026091701,hungry,10208,500.0,500.0,464.0,400.0,400.0,19999,500.0,500.0,464.0,400.0,2000,7513,394
control_hungry_2026091701,control,2026091701,hungry,10390,500.0,440.0,412.0,310.0,310.0,19999,500.0,440.0,416.0,310.0,2000,5883,310
control_hungry_2026091701,control,2026091701,hungry,10561,500.0,440.0,418.0,360.0,360.0,20000,500.0,440.0,424.0,350.0,1997,6744,355
control_satiated_2026091701,control,2026091701,satiated,10176,500.0,400.0,378.0,330.0,330.0,19999,500.0,400.0,382.0,330.0,1999,6267,334
control_satiated_2026091701,control,2026091701,satiated,10208,500.0,440.0,418.0,390.0,390.0,19999,500.0,440.0,412.0,400.0,2000,7463,393
control_satiated_2026091701,control,2026091701,satiated,10390,500.0,400.0,380.0,280.0,300.0,19999,500.0,400.0,378.0,290.0,1999,5555,297
control_satiated_2026091701,control,2026091701,satiated,10561,500.0,420.0,398.0,360.0,360.0,20000,500.0,420.0,398.0,360.0,1999,6804,357
control_hungry_2026091711,control,2026091711,hungry,10176,500.0,440.0,412.0,310.0,330.0,19999,500.0,460.0,418.0,340.0,1998,6165,324
control_hungry_2026091711,control,2026091711,hungry,10208,500.0,500.0,464.0,390.0,390.0,19999,500.0,500.0,466.0,380.0,2000,7343,388
control_hungry_2026091711,control,2026091711,hungry,10390,500.0,440.0,416.0,300.0,300.0,19999,500.0,440.0,416.0,280.0,1999,5588,293
control_hungry_2026091711,control,2026091711,hungry,10561,500.0,460.0,422.0,350.0,350.0,20000,500.0,440.0,420.0,340.0,2000,6579,343
control_satiated_2026091711,control,2026091711,satiated,10176,500.0,420.0,386.0,330.0,330.0,20000,500.0,400.0,386.0,320.0,2000,6212,328
control_satiated_2026091711,control,2026091711,satiated,10208,500.0,440.0,416.0,380.0,390.0,20000,500.0,440.0,414.0,380.0,1999,7351,387
control_satiated_2026091711,control,2026091711,satiated,10390,500.0,400.0,378.0,320.0,300.0,20000,400.0,400.0,382.0,300.0,1998,5742,304
control_satiated_2026091711,control,2026091711,satiated,10561,500.0,420.0,396.0,370.0,360.0,19999,500.0,420.0,396.0,350.0,1999,6822,356
control_hungry_2026091721,control,2026091721,hungry,10176,500.0,440.0,414.0,340.0,340.0,20000,500.0,440.0,420.0,330.0,1998,6329,334
control_hungry_2026091721,control,2026091721,hungry,10208,500.0,500.0,466.0,380.0,400.0,20000,500.0,500.0,472.0,400.0,1998,7480,393
control_hungry_2026091721,control,2026091721,hungry,10390,500.0,440.0,418.0,320.0,310.0,19999,500.0,440.0,416.0,320.0,1999,5977,316
control_hungry_2026091721,control,2026091721,hungry,10561,500.0,460.0,418.0,360.0,360.0,20000,500.0,440.0,420.0,360.0,1998,6848,358
