trial,condition,seed,gain_label,first_peak10_hz,first_peak50_hz,first_late500_hz,OFF1_hz,OFF20_hz,last_OFF_spike_bin_end_ms,reON_peak10_hz,reON_peak50_hz,reON_late500_hz,reOFF1_hz,last_reOFF_spike_bin_end_ms,first_peak10,first_peak50,first_late500,second_peak10,second_peak50,second_late500,second_vs_own_first_peak10,second_vs_own_first_peak50,first_peaks_retained,first_late_retained,OFF1_quiet,OFF20_quiet,second_peaks_retained_vs_control,second_peaks_retained_vs_own_first,second_late_retained,second_rises_from_OFF20,reOFF1_quiet,all_reference_criteria_pass,all_cells_exact_OFF_zero,all_cells_quiet_tail
control_hungry_2026091701,control,2026091701,hungry,500.0,445.0,426.5,347.5,350.0,20000,500.0,445.0,430.0,347.5,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,True,True,True,False,False,False,False
control_satiated_2026091701,control,2026091701,satiated,450.0,410.0,393.5,340.0,345.0,20000,450.0,410.0,392.5,345.0,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,True,True,True,False,False,False,False
control_hungry_2026091711,control,2026091711,hungry,500.0,445.0,428.5,337.5,342.5,20000,500.0,450.0,430.0,335.0,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0112359550561798,True,True,False,False,True,True,True,True,False,False,False,False
control_satiated_2026091711,control,2026091711,satiated,450.0,410.0,394.0,350.0,345.0,20000,450.0,410.0,394.5,337.5,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,True,True,True,False,False,False,False
control_hungry_2026091721,control,2026091721,hungry,500.0,455.0,429.0,350.0,352.5,20000,500.0,450.0,432.0,352.5,1999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989010989010989,True,True,False,False,True,True,True,True,False,False,False,False
control_satiated_2026091721,control,2026091721,satiated,450.0,415.0,396.0,342.5,342.5,20000,425.0,415.0,394.5,342.5,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,True,True,False,False,True,True,True,True,False,False,False,False
control_hungry_2026091731,control,2026091731,hungry,500.0,440.0,429.5,347.5,342.5,20000,500.0,445.0,426.0,347.5,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0113636363636365,True,True,False,False,True,True,True,True,False,False,False,False
control_satiated_2026091731,control,2026091731,satiated,450.0,410.0,391.5,330.0,335.0,20000,450.0,410.0,394.0,332.5,2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,True,True,True,False,False,False,False
known_positive_hungry_2026091701,known_positive,2026091701,hungry,500.0,445.0,426.5,0.0,0.0,1,500.0,450.0,428.5,0.0,2,1.0,1.0,1.0,1.0,1.0112359550561798,0.9965116279069768,1.0,1.0112359550561798,True,True,True,True,True,True,True,True,True,True,True,True
known_positive_satiated_2026091701,known_positive,2026091701,satiated,450.0,410.0,393.5,0.0,0.0,,450.0,410.0,395.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0063694267515924,1.0,1.0,True,True,True,True,True,True,True,True,True,True,True,True
known_positive_hungry_2026091711,known_positive,2026091711,hungry,500.0,445.0,428.5,0.0,0.0,3,500.0,445.0,430.5,0.0,2,1.0,1.0,1.0,1.0,0.9888888888888889,1.0011627906976743,1.0,1.0,True,True,True,True,True,True,True,True,True,True,True,True
known_positive_satiated_2026091711,known_positive,2026091711,satiated,450.0,410.0,394.0,0.0,0.0,2,450.0,410.0,394.5,0.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True,True,True,True,True,True
known_positive_hungry_2026091721,known_positive,2026091721,hungry,500.0,455.0,429.0,0.0,0.0,2,500.0,450.0,432.5,0.0,,1.0,1.0,1.0,1.0,1.0,1.0011574074074074,1.0,0.989010989010989,True,True,True,True,True,True,True,True,True,True,True,True
known_positive_satiated_2026091721,known_positive,2026091721,satiated,450.0,415.0,396.0,0.0,0.0,1,475.0,410.0,394.0,0.0,3,1.0,1.0,1.0,1.1176470588235294,0.9879518072289156,0.9987325728770595,1.0555555555555556,0.9879518072289156,True,True,True,True,True,True,True,True,True,True,True,True
known_positive_hungry_2026091731,known_positive,2026091731,hungry,500.0,440.0,429.5,0.0,0.0,2,500.0,445.0,427.5,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0035211267605635,1.0,1.0113636363636365,True,True,True,True,True,True,True,True,True,True,True,True
known_positive_satiated_2026091731,known_positive,2026091731,satiated,450.0,410.0,391.5,0.0,0.0,,450.0,410.0,393.5,0.0,1,1.0,1.0,1.0,1.0,1.0,0.998730964467005,1.0,1.0,True,True,True,True,True,True,True,True,True,True,True,True
