condition,state,seed,quiet_target_count,PN_OFF20s_100ms_hz,PN_quiet,all_ten_rates_lower_than_paired_control,interpretation
control,hungry,2026091701,0,134.3731778425656,False,False,control
keep_unclear,hungry,2026091701,4,134.08163265306123,False,False,ten_ORNs_not_all_quiet
block_all,hungry,2026091701,9,134.28571428571428,False,True,ten_ORNs_not_all_quiet
control,satiated,2026091701,0,134.51895043731778,False,False,control
keep_unclear,satiated,2026091701,4,134.7521865889213,False,False,ten_ORNs_not_all_quiet
block_all,satiated,2026091701,9,133.8192419825073,False,True,ten_ORNs_not_all_quiet
control,hungry,2026091711,0,132.84256559766763,False,False,control
keep_unclear,hungry,2026091711,5,133.00291545189503,False,False,ten_ORNs_not_all_quiet
block_all,hungry,2026091711,9,132.28862973760934,False,True,ten_ORNs_not_all_quiet
control,satiated,2026091711,0,133.8338192419825,False,False,control
keep_unclear,satiated,2026091711,4,134.46064139941691,False,False,ten_ORNs_not_all_quiet
block_all,satiated,2026091711,9,134.81049562682216,False,True,ten_ORNs_not_all_quiet
control,hungry,2026091721,0,135.01457725947523,False,False,control
keep_unclear,hungry,2026091721,4,134.59183673469389,False,False,ten_ORNs_not_all_quiet
block_all,hungry,2026091721,9,134.32944606413994,False,True,ten_ORNs_not_all_quiet
control,satiated,2026091721,0,134.51895043731778,False,False,control
keep_unclear,satiated,2026091721,4,134.43148688046648,False,False,ten_ORNs_not_all_quiet
block_all,satiated,2026091721,9,134.25655976676384,False,True,ten_ORNs_not_all_quiet
control,hungry,2026091731,0,134.12536443148687,False,False,control
keep_unclear,hungry,2026091731,4,134.35860058309038,False,False,ten_ORNs_not_all_quiet
block_all,hungry,2026091731,9,134.51895043731778,False,True,ten_ORNs_not_all_quiet
control,satiated,2026091731,0,133.42565597667638,False,False,control
keep_unclear,satiated,2026091731,4,132.75510204081633,False,False,ten_ORNs_not_all_quiet
block_all,satiated,2026091731,9,132.47813411078718,False,True,ten_ORNs_not_all_quiet
