condition,state,seed,target_mean_hz,target_max_hz,quiet_target_count,PN_OFF20s_100ms_hz,PN_OFF19to20s_hz,PN_quiet,PN_stimulus_last500ms_hz,all_ten_rates_lower_than_paired_control,PN_OFF20s_100ms_hz_paired_delta,PN_OFF20s_100ms_hz_paired_pct_change,PN_OFF19to20s_hz_paired_delta,PN_OFF19to20s_hz_paired_pct_change,target_mean_hz_paired_delta,target_mean_hz_paired_pct_change,interpretation,ORN_111689_hz,ORN_140755_hz,ORN_153948_hz,ORN_189046_hz,ORN_211611_hz,ORN_222974_hz,ORN_513746_hz,ORN_669738951_hz,ORN_688942939_hz,ORN_76504_hz
control,hungry,2026091701,76.3,205,0,134.3731778425656,134.41690962099125,False,135.51895043731778,False,0.0,0.0,0.0,0.0,0.0,0.0,control,92,40,205,129,23,33,104,8,46,83
keep_unclear,hungry,2026091701,26.5,84,4,134.08163265306123,134.08454810495627,False,135.51895043731778,False,-0.2915451895043759,-0.2169668040789774,-0.3323615160349789,-0.24726168528358405,-49.8,-65.26867627785059,ten_ORNs_not_all_quiet,84,0,38,0,0,70,44,7,22,0
block_all,hungry,2026091701,1.9,19,9,134.28571428571428,134.18950437317784,False,135.51895043731778,True,-0.08746355685133267,-0.06509004122370321,-0.2274052478134081,-0.16917904782561832,-74.39999999999999,-97.50982961992136,ten_ORNs_not_all_quiet,0,0,19,0,0,0,0,0,0,0
control,satiated,2026091701,77.7,210,0,134.51895043731778,134.66909620991254,False,135.35568513119534,False,0.0,0.0,0.0,0.0,0.0,0.0,control,96,40,210,133,22,34,104,7,46,85
keep_unclear,satiated,2026091701,26.3,83,4,134.7521865889213,134.53644314868805,False,135.35568513119534,False,0.23323615160350641,0.1733853489380266,-0.13265306122448806,-0.0985029713258867,-51.400000000000006,-66.15186615186614,ten_ORNs_not_all_quiet,83,0,38,0,0,69,44,7,22,0
block_all,satiated,2026091701,2.0,20,9,133.8192419825073,134.44606413994168,False,135.35568513119534,True,-0.6997084548104908,-0.5201560468140354,-0.22303206997085567,-0.165614885855625,-75.7,-97.42599742599742,ten_ORNs_not_all_quiet,0,0,20,0,0,0,0,0,0,0
control,hungry,2026091711,74.7,201,0,132.84256559766763,132.67638483965015,False,134.12536443148687,False,0.0,0.0,0.0,0.0,0.0,0.0,control,87,40,201,131,19,31,105,5,45,83
keep_unclear,hungry,2026091711,25.7,83,5,133.00291545189503,132.85714285714286,False,134.12536443148687,False,0.16034985422740533,0.12070668276089602,0.1807580174927068,0.13623978201635634,-49.0,-65.59571619812583,ten_ORNs_not_all_quiet,83,0,38,0,0,68,43,3,22,0
block_all,hungry,2026091711,1.9,19,9,132.28862973760934,132.5860058309038,False,134.12536443148687,True,-0.5539358600582887,-0.4169867222648782,-0.09037900874636762,-0.06811989100817817,-72.8,-97.45649263721553,ten_ORNs_not_all_quiet,0,0,19,0,0,0,0,0,0,0
control,satiated,2026091711,76.0,206,0,133.8338192419825,134.12827988338194,False,135.0262390670554,False,0.0,0.0,0.0,0.0,0.0,0.0,control,94,40,206,126,22,33,102,8,46,83
