condition,state,seed,PN_OFF20_hz,below_3Hz_reference,PN_max_cell_OFF20_hz,PN_cells_above_3Hz_OFF20
control,hungry,2026091701,134.3731778425656,False,500,538
known_positive,hungry,2026091701,11.83673469387755,False,320,125
unclear_only,hungry,2026091701,105.6268221574344,False,500,462
all_positive,hungry,2026091701,3.892128279883382,False,310,27
GABA_only,hungry,2026091701,194.32944606413994,False,500,624
control,satiated,2026091701,134.51895043731778,False,500,541
known_positive,satiated,2026091701,11.74927113702624,False,330,128
unclear_only,satiated,2026091701,105.51020408163265,False,500,465
all_positive,satiated,2026091701,3.8629737609329444,False,320,27
GABA_only,satiated,2026091701,194.50437317784255,False,500,624
control,hungry,2026091711,132.84256559766763,False,500,540
known_positive,hungry,2026091711,11.720116618075801,False,330,122
unclear_only,hungry,2026091711,104.73760932944606,False,500,466
all_positive,hungry,2026091711,3.7900874635568513,False,330,25
GABA_only,hungry,2026091711,193.2944606413994,False,500,623
control,satiated,2026091711,133.8338192419825,False,500,542
known_positive,satiated,2026091711,11.793002915451895,False,330,129
unclear_only,satiated,2026091711,105.71428571428571,False,500,466
all_positive,satiated,2026091711,3.746355685131195,False,330,25
GABA_only,satiated,2026091711,194.3002915451895,False,500,624
control,hungry,2026091721,135.01457725947523,False,500,541
known_positive,hungry,2026091721,11.938775510204081,False,340,124
unclear_only,hungry,2026091721,105.65597667638484,False,500,465
all_positive,hungry,2026091721,3.760932944606414,False,310,25
GABA_only,hungry,2026091721,193.9067055393586,False,500,624
control,satiated,2026091721,134.51895043731778,False,500,542
known_positive,satiated,2026091721,11.690962099125365,False,310,123
unclear_only,satiated,2026091721,106.00583090379008,False,500,463
all_positive,satiated,2026091721,3.717201166180758,False,300,25
GABA_only,satiated,2026091721,194.19825072886297,False,500,623
control,hungry,2026091731,134.12536443148687,False,500,539
known_positive,hungry,2026091731,11.85131195335277,False,330,126
unclear_only,hungry,2026091731,105.51020408163265,False,500,465
all_positive,hungry,2026091731,3.6588921282798834,False,300,26
GABA_only,hungry,2026091731,194.067055393586,False,500,624
control,satiated,2026091731,133.42565597667638,False,500,541
known_positive,satiated,2026091731,11.705539358600584,False,330,124
unclear_only,satiated,2026091731,105.11661807580175,False,500,466
all_positive,satiated,2026091731,3.760932944606414,False,300,27
GABA_only,satiated,2026091731,193.70262390670553,False,500,624
