condition,state,seed,PN_OFF20_hz,below_3Hz_reference,PN_max_cell_OFF20_hz,PN_cells_above_3Hz_OFF20,PN_cells_above_100Hz_OFF20,paired_delta_hz,paired_percent_change
control,hungry,2026091701,134.3731778425656,False,500,538,373,0.0,0.0
known_positive,hungry,2026091701,11.83673469387755,False,320,125,19,-122.53644314868806,-91.19114775439357
unclear_only,hungry,2026091701,105.6268221574344,False,500,462,288,-28.746355685131206,-21.392926882187034
all_positive,hungry,2026091701,3.892128279883382,False,310,27,8,-130.48104956268222,-97.10349316554567
GABA_only,hungry,2026091701,194.32944606413994,False,500,624,489,59.956268221574334,44.61922325884138
control,satiated,2026091701,134.51895043731778,False,500,541,372,0.0,0.0
known_positive,satiated,2026091701,11.74927113702624,False,330,128,19,-122.76967930029154,-91.26571304724752
unclear_only,satiated,2026091701,105.51020408163265,False,500,465,288,-29.008746355685133,-21.56480277416558
all_positive,satiated,2026091701,3.8629737609329444,False,320,27,8,-130.65597667638485,-97.12830515821413
GABA_only,satiated,2026091701,194.50437317784255,False,500,624,488,59.98542274052477,44.59254442999565
control,hungry,2026091711,132.84256559766763,False,500,540,372,0.0,0.0
known_positive,hungry,2026091711,11.720116618075801,False,330,122,19,-121.12244897959182,-91.1774388236585
unclear_only,hungry,2026091711,104.73760932944606,False,500,466,288,-28.10495626822157,-21.15658948754526
all_positive,hungry,2026091711,3.7900874635568513,False,330,25,8,-129.05247813411077,-97.14693295292439
GABA_only,hungry,2026091711,193.2944606413994,False,500,623,492,60.45189504373178,45.50641940085593
control,satiated,2026091711,133.8338192419825,False,500,542,371,0.0,0.0
known_positive,satiated,2026091711,11.793002915451895,False,330,129,19,-122.0408163265306,-91.18832371201394
unclear_only,satiated,2026091711,105.71428571428571,False,500,466,288,-28.119533527696788,-21.010783139091604
all_positive,satiated,2026091711,3.746355685131195,False,330,25,8,-130.0874635568513,-97.20074066005881
GABA_only,satiated,2026091711,194.3002915451895,False,500,624,488,60.46647230320701,45.18026358784448
control,hungry,2026091721,135.01457725947523,False,500,541,377,0.0,0.0
known_positive,hungry,2026091721,11.938775510204081,False,340,124,20,-123.07580174927115,-91.15741740444828
unclear_only,hungry,2026091721,105.65597667638484,False,500,465,288,-29.358600583090393,-21.74476354998921
all_positive,hungry,2026091721,3.760932944606414,False,310,25,8,-131.2536443148688,-97.21442453033902
GABA_only,hungry,2026091721,193.9067055393586,False,500,624,494,58.892128279883366,43.61908874973006
control,satiated,2026091721,134.51895043731778,False,500,542,373,0.0,0.0
known_positive,satiated,2026091721,11.690962099125365,False,310,123,19,-122.82798833819243,-91.30905938448201
unclear_only,satiated,2026091721,106.00583090379008,False,500,463,292,-28.5131195335277,-21.19635890767231
all_positive,satiated,2026091721,3.717201166180758,False,300,25,8,-130.80174927113703,-97.2366710013004
GABA_only,satiated,2026091721,194.19825072886297,False,500,623,489,59.67930029154519,44.36497615951451
control,hungry,2026091731,134.12536443148687,False,500,539,376,0.0,0.0
known_positive,hungry,2026091731,11.85131195335277,False,330,126,18,-122.27405247813411,-91.1640039126182
unclear_only,hungry,2026091731,105.51020408163265,False,500,465,286,-28.61516034985422,-21.334637539397892
all_positive,hungry,2026091731,3.6588921282798834,False,300,26,8,-130.46647230320698,-97.2720356482991
GABA_only,hungry,2026091731,194.067055393586,False,500,624,491,59.94169096209913,44.690794478860994
control,satiated,2026091731,133.42565597667638,False,500,541,371,0.0,0.0
known_positive,satiated,2026091731,11.705539358600584,False,330,124,18,-121.72011661807579,-91.22692013547471
unclear_only,satiated,2026091731,105.11661807580175,False,500,466,286,-28.30903790087463,-21.217087293783454
all_positive,satiated,2026091731,3.760932944606414,False,300,27,8,-129.66472303206996,-97.18125204850868
GABA_only,satiated,2026091731,193.70262390670553,False,500,624,488,60.276967930029144,45.176444881459624
